,,成本分析表,,,,,
案件名稱:飛達機電 鳥嘴潭下游送水管E-2,,,,,,,
中華民國 111 年1月5 日                     ,,,,,,,PAGE ：1
,品名,鐵材成本,鈑金工資,噴漆工資,器材成本,電機工資,材質
1,MP 盤,"65,000 ","22,000 ","7,000 ",空箱體,"1,000 ",SUS304
2,P1 盤,"65,000 ","22,000 ","7,000 ",,"1,000 ",
3,P2 盤,"65,000 ","22,000 ","7,000 ",,"1,000 ",
4,P3 盤,"65,000 ","22,000 ","7,000 ",,"1,000 ",
5,P4 盤,"65,000 ","22,000 ","7,000 ",,"1,000 ",
6,MPA 盤,"65,000 ","22,000 ","7,000 ",,"1,000 ",
7,CP01 盤,"70,000 ","25,000 ","8,000 ",,"1,000 ",
8,JP1~JP4箱,"60,000 ","30,000 ","12,000 ",,"1,600 ",
9,壓力箱,"9,000 ","5,000 ","3,000 ",,500 ,
10,,,,,,,
11,,,,,,,
12,,,,,,,
13,,,,,,,
14,,,,,,,
15,,,,,,,
16,,,,,,,
17,,,,,,,
18,,,,,,,
19,,,,,,,
20, 合計,"529,000","192,000","65,000",0,"9,100",0
總額新台幣：,,,,,NT$,"795,100",
TOTAL  NT$,,,,,,,
,,,,,,,
,,,,,,,業務承辦
,,,,,,,
,,,,,,,賴明春
,,,,,,,
